문서 번호,제목,질문,위치 고유번호,조회수,질문 날짜
477538497,질문서연이솔정현고,동탄2로 이사예정인데 서연이솔정현고중에서 어디가 분위기가 제일 좋나요? 내신이 좋은편이 아니라서 정신차리고 하려고하는데 분위기에도 많이 휩씋려서 안좋은애들하고 어울릴까봐 좀 걱정되요,120923, 22,2024.11.05
477529628,질문동백 세브란스 병원,경기도 남부 수원용인에 3차병원이 분당서울대 아주대가 있는데요. 동백이 위치상 가까운데 보니까 3차병원이 아니더라구요. 동백 세브란스 병원 의료진 수준은 어떤가요? 그리고 이용하는 사람들 많나요? 너무 많으면 근처 용인에 다른 병원 이용하는게 나을런지... 응급실을 이용해야 한다면 그냥 종합병원 수준 응급실 이용해도 무난할까요???,120923, 31,2024.11.05
477521759,질문올리브영 용인 물류센터 질문,행사 끝나고도 근무 할수 있다고 말하는데 장기근무 일용직분들 계신가요?,120923, 19,2024.11.05
477476913,질문영덕여고 입학에 중학교 성적 많이 반영되나요,주변에서는 아니라고 하는데 워낙 내신 빡센 학교라고 들어서요 저는 구미동에 있는 중학교 다니고있고 2학년인데 영덕여고를 정말 희망하고있거든요 얼마전에 설명회도 다녀왔는데 더 맘에 들고… 친구는 거기 입학해서 학년 전체 30등 안에는 들어야 의미있는거라고 하는데 그건 자신없고 그래도 아침자습 야간자습 진짜 열심히 꾸준히 할 의향 있어요 영덕여고 입학하는데 중학교 성적 많이 반영되는지 그리고 친구가 한 말이 정말인지 궁금해요,120923, 37,2024.11.05
477489989,질문비봉 vs 신갈,비봉이랑 신갈중에 어느곳이 더 교통의 요지인가요?,120923, 24,2024.11.04
477474209,질문용인과외 어디서 구하면 좋을까요 ?,경기 용인시에 거주합니다 수지구 혹은 근처 광교기흥에서 과외수업활동하시는 전문샘을 찾습니다 영어랑 수학 관심있는데 국어도 시켜달라곤 하더라구요 초5 아들과 고1 딸이있습니다 좋은 샘 만나려면 뭘 잘보면될까요?,120923, 25,2024.11.04
477441022,질문버스 타야하는데 도와주세요,오산 세마역에서 평택마이스터고등학교 주변에 가야하는데 몇번 버스를 타고 몇번 갈아타야하나요,120923, 28,2024.11.03
477395286,질문에버랜드 갈건데,오늘 새롭게 안중역이 생겼는데 빠르게갈수있더라고요? 일단 안중역까지는 안중터미널에서 버스타고 가야될거같고 안중역에서 평택역까지 10~15분걸린다던데 평택역에 내려서부터 문제임 수원역으로 가서 용인으로 가야되나? 서울로 가야되나 모르겠음,120923, 51,2024.11.02
477384251,질문에버랜드랑 가장 가까운 용인터미널,에버랜드랑 가장 가까운 용인 터미널 머가 있나요!!??,120923, 35,2024.11.02
477368515,질문용인수지구에서 김제 백산까지 용달 비용 얼마에요?,옮겨야 할 물건은 첫번째 사진 왼쪽의 철제장 1개와 두번째 사진의 캣타워 크고 작은 것들 (정확한 수는 모릅니다. 유기동물보호 단체로 기부한다는 분이 계서서요) 아마 5개 안밖일 듯 합니다. 그리고 이불 약간입니다. 견적 부탁드립니다.,120923, 48,2024.11.01
477331054,질문상현역 물품보관함,직거래 해야하는데 시간이 안맞아서요. 상현역 물품보관함 쓸때 제 번호 말고 물건 찾아가는 분 번호 써도 되나요?,120923, 18,2024.10.31
477184335,질문용인 포곡간도로,아직 공사중인가요?,120923, 41,2024.10.31
477268017,질문용인 처인구 57번 국지도 질문,1. 2025년도 부터 본격적으로 공사 시작되나요? 2. 포곡읍 지나 이쪽 공사 다 끝나면 용인시내 안 걸치고 곧바로 평택' 안성 방향까지 이어지나요? 3. 2025년부터 공사 시작된다는데 완공은 언제쯤 끝나나요?,120923, 42,2024.10.31
477272043,질문용인 포곡간도로,여기 57번 국지도 도로 언제쯤 공사시작인가요? 내년에 한다고는 들었는데..,120923, 34,2024.10.31
477180333,질문용인 평택?,용인 포곡간도로 57번 국도 언제 다 완공되나요?,120923, 46,2024.10.31
477275022,질문용인시 이편한 한숲 시티A 한자 학습지,용인으로 이사예정으로 이편한 한숲시티 아파트에 장원한자 학습지 들어오나요?,120923, 22,2024.10.30
477248582,질문10.30 경희대 국제캠퍼스 대동제 아델란테(용인),내일 친구들과 함께 축제를 가려고 하는데요 미성년자와 외부인은 출입이 안된다고 들었어요 정말 안되나요?? 아니면 그냥 도는 소문인가요ㅠ,120923, 50,2024.10.29
